specimen,specimen_GUT,population,generation,type,color,standard_length,gut_length,gut_width,fiji_standard_length,fiji_gut_length,fiji_gut_width,condition,collection,scales_feed,measured,date,pictured,,Species
CRP-A-2.2014-GCK-035-GUT_6,GUT_6,CRP,none,generalist,blue,51.695,74.28,1.59,,,,museum_specimen,wild-caught,unclear,yes,9.12.23,yes,y,
OSP-A-2017-GCK-011-GUT_7,GUT_7,OSP,none,generalist,blue,49.225,86.755,1.95,,,,museum_specimen,wild-caught,unclear,yes,9.12.23,yes,y,
OSP-A-2017-GCK-009-GUT_8,GUT_8,OSP,none,generalist,blue,52.96,125.125,3.765,,,,museum_specimen,wild-caught,unclear,yes,9.12.23,yes,y,
OSP-P-F2-GUT_2,GUT_2,OSP,F2,lepidophagist,red,26.29,12.975,0.675,,,,museum_specimen,lab-reared,unclear,yes,9.12.23,yes,y,
OSP-P-F2-GUT_4,GUT_4,OSP,F2,lepidophagist,red,28.165,7.94,0.645,,,,museum_specimen,lab-reared,unclear,yes,9.12.23,yes,y,
OSP-P-F2-GUT_5,GUT_5,OSP,F2,lepidophagist,red,24.24,6.385,0.42,26.392,10.227,0.403,museum_specimen,lab-reared,unclear,yes,9.12.23,yes,y,
OSP-P-F2-GUT_3,GUT_3,OSP,F2,lepidophagist,red,,,,,,,museum_specimen,lab-reared,unclear,no,9.12.23,yes,y,
CRP-P-F3-GUT_1,GUT_1,OSP,F3,lepidophagist,red,,,,,,,museum_specimen,lab-reared,unclear,no,9.12.23,yes,y,
OSP-P-F3-GUT_10,GUT_10,OSP,F3,lepidophagist,red,,,,47.878,30.569,0.774,museum_specimen,lab-reared,unclear,no,9.12.23,yes,y,
CRP-P-F3-GUT_9,GUT_9,CRP,F3,lepidophagist,red,,,,,,,museum_specimen,lab-reared,unclear,no,9.12.23,yes,y,
OSP-P-F4-GUT_11,GUT_11,OSP,F4,lepidophagist,red,,,,,,,museum_specimen,lab-reared,unclear,no,9.12.23,yes,y,
OSP-P-F2-GUT_12,GUT_12,OSP,F2,lepidophagist,red,45.94,55.9,0.335,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
CRP-P-F3-GUT_13,GUT_13,CRP,F3,lepidophagist,red,40.465,64.71,0.205,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
CRP-P-F3-GUT_14,GUT_14,CRP,F3,lepidophagist,red,44.62,53.725,0.315,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
CRP-A-F4-GUT_15,GUT_15,CRP,F4,generalist,blue,35.065,71.62,0.33,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
CRP-A-F4-GUT_16,GUT_16,CRP,F4,generalist,blue,37.15,64.13,0.73,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
CRP-A-F4-GUT_17,GUT_17,CRP,F4,generalist,blue,32.27,47.405,0.655,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
CRP-A-F4-GUT_18,GUT_18,CRP,F4,generalist,blue,29.405,27.81,0.965,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
CRP-A-F4-GUT_19,GUT_19,CRP,F4,generalist,blue,27.445,45.32,0.955,,,,museum_specimen,lab-reared,unclear,yes,10.3.23,yes,y,
OSP-A-F4-GUT_20,GUT_20,OSP,F4,generalist,blue,33.88,41.355,0.5,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,yes,y,
CRP-M-F3-GUT_21,GUT_21,CRP,F3,molluscivore,green,50.195,33.45,1.385,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-M-F3-GUT_22,GUT_22,CRP,F3,molluscivore,green,41.235,28.55,1.04,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,y,
CRP-M-F3-GUT_23,GUT_23,CRP,F3,molluscivore,green,37.095,33.07,1.03,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-M-F3-GUT_24,GUT_24,CRP,F3,molluscivore,green,31.13,24.39,0.8,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-M-F3-GUT_25,GUT_25,CRP,F3,molluscivore,green,38.385,73.785,0.8,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-M-F3-GUT_26,GUT_26,CRP,F3,molluscivore,green,34.19,34.24,1.035,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-M-F3-GUT_27,GUT_27,CRP,F3,molluscivore,green,26.82,29.465,0.66,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-A-F4-GUT_28,GUT_28,CRP,F4,generalist,blue,24.3,22.37,0.72,,,,museum_specimen,lab-reared,unclear,no,10.10.23,,,
CRP-A-F4-GUT_29,GUT_29,CRP,F4,generalist,blue,27.315,46.395,0.45,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-A-F4-GUT_30,GUT_30,CRP,F4,generalist,blue,23.15,36.14,0.82,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
CRP-A-F4-GUT_31,GUT_31,CRP,F4,generalist,blue,18.135,22.03,0.805,,,,museum_specimen,lab-reared,unclear,yes,10.10.23,,,
LIL-P-F3-GUT_32,GUT_32,LIL,F3,lepidophagist,red,,,,,,,museum_specimen,lab-reared,,no,,,,
LIL-P-F3-GUT_33,GUT_33,LIL,F3,lepidophagist,red,,,,,,,museum_specimen,lab-reared,,no,,to measure,,
LIL-P-F3-GUT_34,GUT_34,LIL,F3,lepidophagist,red,39.015,31.08,1.14,,,,museum_specimen,lab-reared,,yes,,,,
LIL-P-F3-GUT_35,GUT_35,LIL,F3,lepidophagist,red,40.295,33.385,0.81,,,,museum_specimen,lab-reared,,yes,,,,
LIL-P-F3-GUT_36,GUT_36,LIL,F3,lepidophagist,red,30.48,15.58,0.485,,,,museum_specimen,lab-reared,,no,,,,
NC-A-F3-GUT_37,GUT_37,NC,F3,generalist,blue,41.14,40.785,1.095,,,,museum_specimen,lab-reared,,yes,,,,
LIL-P-F3-GUT_38,GUT_38,LIL,F3,lepidophagist,red,30.62,40.295,0.605,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_39,GUT_39,NC,F3,generalist,blue,41.715,19.545,1.305,,,,museum_specimen,lab-reared,,yes,,,,
LIL-P-F3-GUT_40,GUT_40,LIL,F3,lepidophagist,red,30.205,34.535,0.665,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_41,GUT_41,NC,F3,generalist,blue,42.905,44.335,0.99,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_42,GUT_42,NC,F3,generalist,blue,39.36,18.795,0.965,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_43,GUT_43,NC,F3,generalist,blue,41.885,39.32,1.135,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_44,GUT_44,NC,F3,generalist,blue,36.955,42.01,1.09,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_45,GUT_45,NC,F3,generalist,blue,39.94,14.882,0.935,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_46,GUT_46,NC,F3,generalist,blue,35.435,31.675,0.755,,,,museum_specimen,lab-reared,,yes,,,,
NC-A-F3-GUT_47,GUT_47,NC,F3,generalist,blue,39.51,20.97,0.67,,,,museum_specimen,lab-reared,,yes,,,,
OSP-P-F3-GUT_48,GUT_48,OSP,F3,lepidophagist,red,49.99,51.61,0.755,,,,,,,yes,,,,
OSP-P-F3-GUT_49,GUT_49,OSP,F3,lepidophagist,red,44.415,35.1,0.505,,,,,,,yes,,,,
OSP-P-F3-GUT_50,GUT_50,OSP,F3,lepidophagist,red,45.29,25.61,0.95,,,,,,,yes,,,,
OSP-P-F3-GUT_51,GUT_51,OSP,F3,lepidophagist,red,42.155,49.875,0.615,,,,,,,yes,,,,
OSP-P-F3-GUT_52,GUT_52,OSP,F4,lepidophagist,red,33.04,17.335,0.75,,,,,,,yes,,,,
OSP-P-F3-GUT_53,GUT_53,OSP,F5,lepidophagist,red,31.09,39.215,0.855,,,,,,,yes,,,,
OSP-P-F3-GUT_54,GUT_54,OSP,F6,lepidophagist,red,31.105,14.705,0.62,,,,,,,yes,,,,
OSP-P-F3-GUT_55,GUT_55,OSP,F7,lepidophagist,red,27.78,23.44,0.6,,,,,,,yes,,,,
