specimen,standard_length,gut_length,gut_width,standard_length_1,gut_length_1,gut_width_1,standard_length_2,gut_length_2,gut_width_2,exp_standard_length,exp_gut_length,exp_gut_width
CRP-A-2.2014-GCK-035-GUT_6,51.695,74.28,1.59,51.15,79.39,2.16,52.24,69.17,1.02,51.695,74.28,1.59
OSP-A-2017-GCK-011-GUT_7,49.225,86.755,1.95,48.82,88.8,1.73,49.63,84.71,2.17,49.225,86.755,1.95
OSP-A-2017-GCK-009-GUT_8,52.96,125.125,3.765,52.48,127.11,3.61,53.44,123.14,3.92,52.96,125.125,3.765
OSP-P-F2-GUT_2,26.29,12.975,0.675,26.77,13.51,0.85,25.81,12.44,0.5,26.29,12.975,0.675
OSP-P-F2-GUT_4,28.165,7.94,0.645,28.02,7.79,0.68,28.31,8.09,0.61,28.165,7.94,0.645
OSP-P-F2-GUT_5,24.24,6.385,0.42,24.68,6.55,0.38,23.8,6.22,0.46,24.24,6.385,0.42
CRP-P-F3-GUT_13,40.465,64.71,0.205,40.9,64.49,0.25,40.03,64.93,0.16,40.465,64.71,0.205
CRP-P-F3-GUT_14,44.62,53.725,0.315,44.99,54.54,0.34,44.25,52.91,0.29,44.62,53.725,0.315
CRP-A-F4-GUT_15,35.065,71.62,0.33,35.71,78.23,0.35,34.42,65.01,0.31,35.065,71.62,0.33
CRP-A-F4-GUT_16,37.15,64.13,0.73,37.67,67.09,0.73,36.63,61.17,0.73,37.15,64.13,0.73
CRP-A-F4-GUT_17,32.27,47.405,0.655,33,51.39,0.67,31.54,43.42,0.64,32.27,47.405,0.655
CRP-A-F4-GUT_18,29.405,27.81,0.965,29.5,30.31,1.06,29.31,25.31,0.87,29.405,27.81,0.965
CRP-A-F4-GUT_19,27.445,45.32,0.955,27.61,47.38,0.92,27.28,43.26,0.99,27.445,45.32,0.955
OSP-A-F4-GUT_20,33.88,41.355,0.5,33.84,42.05,0.47,33.92,40.66,0.53,33.88,41.355,0.5
CRP-M-F3-GUT_21,50.195,33.45,1.385,50.16,33.5,1.47,50.23,33.4,1.3,50.195,33.45,1.385
CRP-M-F3-GUT_22,41.235,28.55,1.04,41.39,29.71,1.15,41.08,27.39,0.93,41.235,28.55,1.04
CRP-M-F3-GUT_23,37.095,33.07,1.03,37.59,34.64,0.78,36.6,31.5,1.28,37.095,33.07,1.03
CRP-M-F3-GUT_24,31.13,24.39,0.8,31.64,26.37,0.53,30.62,22.41,1.07,31.13,24.39,0.8
CRP-M-F3-GUT_25,38.385,73.785,0.8,39.49,75.42,0.7,37.28,72.15,0.9,38.385,73.785,0.8
